Petal Width Greater Than 2.0,,,,,,,,
Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalArea,PetalArea,Size Classification
103,7.1,3,5.9,2.1,Iris-virginica,21.3,12.39,Big
106,7.6,3,6.6,2.1,Iris-virginica,22.8,13.86,Big
113,6.8,3,5.5,2.1,Iris-virginica,20.4,11.55,Big
125,6.7,3.3,5.7,2.1,Iris-virginica,22.11,11.97,Big
129,6.4,2.8,5.6,2.1,Iris-virginica,17.92,11.76,Big
140,6.9,3.1,5.4,2.1,Iris-virginica,21.39,11.34,Big
105,6.5,3,5.8,2.2,Iris-virginica,19.5,12.76,Big
118,7.7,3.8,6.7,2.2,Iris-virginica,29.26,14.74,Big
133,6.4,2.8,5.6,2.2,Iris-virginica,17.92,12.32,Big
116,6.4,3.2,5.3,2.3,Iris-virginica,20.48,12.19,Big
119,7.7,2.6,6.9,2.3,Iris-virginica,20.02,15.87,Big
121,6.9,3.2,5.7,2.3,Iris-virginica,22.08,13.11,Big
136,7.7,3,6.1,2.3,Iris-virginica,23.1,14.03,Big
142,6.9,3.1,5.1,2.3,Iris-virginica,21.39,11.73,Big
144,6.8,3.2,5.9,2.3,Iris-virginica,21.76,13.57,Big
146,6.7,3,5.2,2.3,Iris-virginica,20.1,11.96,Big
149,6.2,3.4,5.4,2.3,Iris-virginica,21.08,12.42,Big
115,5.8,2.8,5.1,2.4,Iris-virginica,16.24,12.24,Big
137,6.3,3.4,5.6,2.4,Iris-virginica,21.42,13.44,Big
141,6.7,3.1,5.6,2.4,Iris-virginica,20.77,13.44,Big
101,6.3,3.3,6,2.5,Iris-virginica,20.79,15,Big
110,7.2,3.6,6.1,2.5,Iris-virginica,25.92,15.25,Big
145,6.7,3.3,5.7,2.5,Iris-virginica,22.11,14.25,Big
